date,MHI,btc_price,dailycases,sentiment_index
2021-02-01,33.38,33515.7,443924,-9.56
2021-01-31,29.94,33108.1,389671,2.88
2021-01-30,31.65,34283.1,521339,-3.3
2021-01-29,31.1,34301.8,591824,-5.2
2021-01-28,32.38,33374.8,614502,-7.8
2021-01-27,31.89,30404,602230,-8.36
2021-01-26,33.3,32502.1,556400,-8.88
2021-01-25,31.42,32252.3,491214,-9.95
2021-01-24,30.65,32241.3,458742,-23.6
2021-01-23,33.43,32088.9,575073,-18.79
2021-01-22,31.14,33000.5,660675,-19.29
2021-01-21,32.11,30842.1,657491,-18.6
2021-01-20,32.05,35476.3,697736,-21.01
2021-01-19,32.89,36002.9,599664,-21.17
2021-01-18,31.73,36613.2,514053,-18.8
2021-01-17,32.22,35839.6,529021,-18.06
2021-01-16,31.97,36019.5,647964,-27.53
2021-01-15,31.66,36845.8,773496,-32.45
2021-01-14,31.26,39175.7,760118,-32.89
2021-01-13,33.66,37382.2,751173,-29.74
2021-01-12,30.86,34076.1,701067,-40.03
2021-01-11,30.05,35544.3,616587,-43.25
2021-01-10,30.3,38192.2,590667,-45.86
2021-01-09,31.67,40151.9,762852,-42.77
2021-01-08,25.5,40599.3,816961,-36.29
2021-01-07,30.66,39460.2,892721,-33.28
2021-01-06,35.46,36793.2,791329,-36.72
2021-01-05,34.73,33991.5,743799,-25.57
2021-01-04,36.22,32022.6,550297,-25.6
2021-01-03,37.59,32958.9,522965,-11.18
2021-01-02,40.66,32193.3,605638,-1.39
2021-01-01,39.23,29359.9,566625,-1.68
2020-12-31,40.37,28949.4,777487,-2.4
2020-12-30,38.21,28868.7,740710,-0.19
2020-12-29,36.8,27376,672416,-13.51
2020-12-28,36.3,27057.8,488143,-13.42
2020-12-27,38.45,26261.3,433132,-25.57
2020-12-26,38.73,26454.4,507698,-39.55
2020-12-25,39.08,24689.6,480400,-50.64
2020-12-24,37.29,23736.5,682169,-61.05
2020-12-23,38.46,23257.9,696271,-62.88
2020-12-22,37.95,23823.2,661643,-51.02
2020-12-21,41.97,22728.5,540313,-48.29
2020-12-20,40.85,23474.9,532153,-46.02
2020-12-19,36.15,23844,625006,-32.13
2020-12-18,33.89,23127.9,721601,-22.26
2020-12-17,35.2,22825.4,741518,-12.96
2020-12-16,34.83,21352.2,731957,-9.74
2020-12-15,35.9,19434.9,652512,-8.23
2020-12-14,34.8,19273.8,531758,-7.09
2020-12-13,36.25,19176.8,530148,0.09
2020-12-12,34.22,18808.9,641788,-1.07
2020-12-11,33.67,18023.6,708580,1.93
2020-12-10,34.83,18247.2,1503570,3.45
2020-12-09,35.57,18546,671999,3.44
2020-12-08,36.46,18326.6,652304,3.45
2020-12-07,36.31,19170.7,515425,2.03
2020-12-06,33.88,19379.9,537323,5.76
2020-12-05,36.28,19146.5,649177,6.9
2020-12-04,35.03,18658.1,687813,7.3
2020-12-03,36.41,19433.3,696787,-1.53
2020-12-02,36.68,19218.8,654984,-4.79
2020-12-01,35.22,18770.7,619957,-6.31
2020-11-30,32.56,19698.1,503862,-6.36
2020-11-29,34.91,18185.5,489616,-4.08
2020-11-28,36.3,17730.7,590052,-5.09
2020-11-27,35.31,17127.1,682821,-6.19
2020-11-26,37.62,17162,589216,1.74
2020-11-25,35.98,18723,639019,2.36
2020-11-24,36.79,19152.6,593143,3.49
2020-11-23,39.29,18379.6,522543,4.34
2020-11-22,37.34,18412.9,488192,2.85
2020-11-21,38.23,18687.2,590957,6.3
2020-11-20,38.04,18675.2,672747,6.82
2020-11-19,36.95,17803.5,654463,7.88
2020-11-18,35.13,17774.6,627446,9.46
2020-11-17,36.95,17662.3,612497,8.61
2020-11-16,36.83,16715.8,529791,7.57
2020-11-15,37.06,15953,475507,1.99
2020-11-14,35.62,16071,599559,-1.33
2020-11-13,34.5,16324.2,653081,-0.34
2020-11-12,34.55,16294.7,646444,-0.67
2020-11-11,33.12,15695.8,651681,1.33
2020-11-10,36.15,15303.6,565160,1.34
2020-11-09,32.64,15327.2,465454,1.44
2020-11-08,30.32,15483.7,484746,-6.5
2020-11-07,29.91,14828.4,602302,-18.83
2020-11-06,31.23,15577.9,645236,-22.75
2020-11-05,32.45,15587.1,597427,-22.73
2020-11-04,33.76,14145.6,598546,-24.04
2020-11-03,33.01,14019.9,520415,-23.83
2020-11-02,34.82,13561.4,502983,-24
2020-11-01,35.07,13759.4,471856,-10.58
2020-10-31,32.53,13797.3,488030,-0.24
2020-10-30,33.18,13559.9,567538,2.91
2020-10-29,33.87,13457.2,538733,3.88
2020-10-28,32.57,13278.9,518848,1.75
2020-10-27,33,13657.8,471826,1.92
2020-10-26,36.27,13061.6,439880,2.28
2020-10-25,34.05,13032.2,400261,0.96
2020-10-24,34.52,13117.2,456169,1.48
2020-10-23,33.67,12934.1,507239,1.53
2020-10-22,34.25,12974.6,472558,0.25
2020-10-21,33.51,12808.7,444152,1.61
2020-10-20,34.55,11913.5,389181,1.53
2020-10-19,33.98,11753.4,386453,1.81
2020-10-18,34.27,11506.9,316986,4.81
2020-10-17,35.58,11362.1,374859,5.95
2020-10-16,36.02,11322,411917,5.42
2020-10-15,34.18,11503,407613,5.53
2020-10-14,34.54,11420.4,381679,4.8
2020-10-13,32.82,11423.8,318414,4.95
2020-10-12,33.05,11533.9,291923,4.52
2020-10-11,34.23,11371,288112,3.32
2020-10-10,34.75,11298.4,357984,-2.58
2020-10-09,36.06,11054.2,361520,-1.45
2020-10-08,34.21,10924.1,361802,-1.23
2020-10-07,35.3,10670.9,350154,1.16
2020-10-06,36.47,10602.6,330865,1.63
2020-10-05,40.18,10789.5,295140,3.29
2020-10-04,41.73,10672.9,274593,-3.67
2020-10-03,41.12,10544.2,320382,2.34
2020-10-02,32.07,10572.3,306041,2.47
2020-10-01,31.27,10620.5,313148,2.93
2020-09-30,32.2,10776.1,325498,3.53
2020-09-29,30.14,10840.9,283558,5.13
2020-09-28,30.12,10693.2,252024,5.61
2020-09-27,29.95,10776.2,255163,12.52
2020-09-26,31.36,10727.9,289633,11.42
2020-09-25,31.2,10688.8,336043,11.2
2020-09-24,31.08,10739.4,354058,10.73
2020-09-23,32.89,10237.3,274729,11.86
2020-09-22,30.44,10531.5,285237,11.64
2020-09-21,28.34,10416.8,274607,11.32
