areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000023,"Bristol, City of",ltla,24/02/2021,45
E06000023,"Bristol, City of",ltla,23/02/2021,56
E06000023,"Bristol, City of",ltla,22/02/2021,61
E06000023,"Bristol, City of",ltla,21/02/2021,36
E06000023,"Bristol, City of",ltla,20/02/2021,66
E06000023,"Bristol, City of",ltla,19/02/2021,62
E06000023,"Bristol, City of",ltla,18/02/2021,83
E06000023,"Bristol, City of",ltla,17/02/2021,74
E06000023,"Bristol, City of",ltla,16/02/2021,89
E06000023,"Bristol, City of",ltla,15/02/2021,81
E06000023,"Bristol, City of",ltla,14/02/2021,58
E06000023,"Bristol, City of",ltla,13/02/2021,58
E06000023,"Bristol, City of",ltla,12/02/2021,106
E06000023,"Bristol, City of",ltla,11/02/2021,99
E06000023,"Bristol, City of",ltla,10/02/2021,111
E06000023,"Bristol, City of",ltla,09/02/2021,130
E06000023,"Bristol, City of",ltla,08/02/2021,134
E06000023,"Bristol, City of",ltla,07/02/2021,104
E06000023,"Bristol, City of",ltla,06/02/2021,73
E06000023,"Bristol, City of",ltla,05/02/2021,102
E06000023,"Bristol, City of",ltla,04/02/2021,137
E06000023,"Bristol, City of",ltla,03/02/2021,135
E06000023,"Bristol, City of",ltla,02/02/2021,129
E06000023,"Bristol, City of",ltla,01/02/2021,159
E06000023,"Bristol, City of",ltla,31/01/2021,117
E06000023,"Bristol, City of",ltla,30/01/2021,151
E06000023,"Bristol, City of",ltla,29/01/2021,144
E06000023,"Bristol, City of",ltla,28/01/2021,153
E06000023,"Bristol, City of",ltla,27/01/2021,203
E06000023,"Bristol, City of",ltla,26/01/2021,202
E06000023,"Bristol, City of",ltla,25/01/2021,235
E06000023,"Bristol, City of",ltla,24/01/2021,116
E06000023,"Bristol, City of",ltla,23/01/2021,146
E06000023,"Bristol, City of",ltla,22/01/2021,192
E06000023,"Bristol, City of",ltla,21/01/2021,213
E06000023,"Bristol, City of",ltla,20/01/2021,227
E06000023,"Bristol, City of",ltla,19/01/2021,232
E06000023,"Bristol, City of",ltla,18/01/2021,287
E06000023,"Bristol, City of",ltla,17/01/2021,180
E06000023,"Bristol, City of",ltla,16/01/2021,202
E06000023,"Bristol, City of",ltla,15/01/2021,270
E06000023,"Bristol, City of",ltla,14/01/2021,310
E06000023,"Bristol, City of",ltla,13/01/2021,301
E06000023,"Bristol, City of",ltla,12/01/2021,331
E06000023,"Bristol, City of",ltla,11/01/2021,355
E06000023,"Bristol, City of",ltla,10/01/2021,245
E06000023,"Bristol, City of",ltla,09/01/2021,261
E06000023,"Bristol, City of",ltla,08/01/2021,266
E06000023,"Bristol, City of",ltla,07/01/2021,311
E06000023,"Bristol, City of",ltla,06/01/2021,316
E06000023,"Bristol, City of",ltla,05/01/2021,443
E06000023,"Bristol, City of",ltla,04/01/2021,448
E06000023,"Bristol, City of",ltla,03/01/2021,258
E06000023,"Bristol, City of",ltla,02/01/2021,315
E06000023,"Bristol, City of",ltla,01/01/2021,191
E06000023,"Bristol, City of",ltla,31/12/2020,257
E06000023,"Bristol, City of",ltla,30/12/2020,328
E06000023,"Bristol, City of",ltla,29/12/2020,386
E06000023,"Bristol, City of",ltla,28/12/2020,207
E06000023,"Bristol, City of",ltla,27/12/2020,219
E06000023,"Bristol, City of",ltla,26/12/2020,157
E06000023,"Bristol, City of",ltla,25/12/2020,41
E06000023,"Bristol, City of",ltla,24/12/2020,89
E06000023,"Bristol, City of",ltla,23/12/2020,148
E06000023,"Bristol, City of",ltla,22/12/2020,163
E06000023,"Bristol, City of",ltla,21/12/2020,198
E06000023,"Bristol, City of",ltla,20/12/2020,99
E06000023,"Bristol, City of",ltla,19/12/2020,85
E06000023,"Bristol, City of",ltla,18/12/2020,108
E06000023,"Bristol, City of",ltla,17/12/2020,105
E06000023,"Bristol, City of",ltla,16/12/2020,127
E06000023,"Bristol, City of",ltla,15/12/2020,124
E06000023,"Bristol, City of",ltla,14/12/2020,125
E06000023,"Bristol, City of",ltla,13/12/2020,87
E06000023,"Bristol, City of",ltla,12/12/2020,86
E06000023,"Bristol, City of",ltla,11/12/2020,71
E06000023,"Bristol, City of",ltla,10/12/2020,90
E06000023,"Bristol, City of",ltla,09/12/2020,83
E06000023,"Bristol, City of",ltla,08/12/2020,107
E06000023,"Bristol, City of",ltla,07/12/2020,80
E06000023,"Bristol, City of",ltla,06/12/2020,50
E06000023,"Bristol, City of",ltla,05/12/2020,67
E06000023,"Bristol, City of",ltla,04/12/2020,65
E06000023,"Bristol, City of",ltla,03/12/2020,112
E06000023,"Bristol, City of",ltla,02/12/2020,104
E06000023,"Bristol, City of",ltla,01/12/2020,62
E06000023,"Bristol, City of",ltla,30/11/2020,104
E06000023,"Bristol, City of",ltla,29/11/2020,83
E06000023,"Bristol, City of",ltla,28/11/2020,77
E06000023,"Bristol, City of",ltla,27/11/2020,116
E06000023,"Bristol, City of",ltla,26/11/2020,105
E06000023,"Bristol, City of",ltla,25/11/2020,152
E06000023,"Bristol, City of",ltla,24/11/2020,135
E06000023,"Bristol, City of",ltla,23/11/2020,153
E06000023,"Bristol, City of",ltla,22/11/2020,93
E06000023,"Bristol, City of",ltla,21/11/2020,120
E06000023,"Bristol, City of",ltla,20/11/2020,168
E06000023,"Bristol, City of",ltla,19/11/2020,164
E06000023,"Bristol, City of",ltla,18/11/2020,230
E06000023,"Bristol, City of",ltla,17/11/2020,273
E06000023,"Bristol, City of",ltla,16/11/2020,339
E06000023,"Bristol, City of",ltla,15/11/2020,209
E06000023,"Bristol, City of",ltla,14/11/2020,258
E06000023,"Bristol, City of",ltla,13/11/2020,334
E06000023,"Bristol, City of",ltla,12/11/2020,379
E06000023,"Bristol, City of",ltla,11/11/2020,300
E06000023,"Bristol, City of",ltla,10/11/2020,355
E06000023,"Bristol, City of",ltla,09/11/2020,367
E06000023,"Bristol, City of",ltla,08/11/2020,267
E06000023,"Bristol, City of",ltla,07/11/2020,266
E06000023,"Bristol, City of",ltla,06/11/2020,343
E06000023,"Bristol, City of",ltla,05/11/2020,354
E06000023,"Bristol, City of",ltla,04/11/2020,350
E06000023,"Bristol, City of",ltla,03/11/2020,362
E06000023,"Bristol, City of",ltla,02/11/2020,401
E06000023,"Bristol, City of",ltla,01/11/2020,146
E06000023,"Bristol, City of",ltla,31/10/2020,182
E06000023,"Bristol, City of",ltla,30/10/2020,303
E06000023,"Bristol, City of",ltla,29/10/2020,281
E06000023,"Bristol, City of",ltla,28/10/2020,351
