date,MHI,btc_price
2020-07-12,40.6,9300.8
2020-07-11,37.83,9233.3
2020-07-10,37.56,9285.1
2020-07-09,38.5,9235.7
2020-07-08,39.28,9429.9
2020-07-07,39.19,9256
2020-07-06,41.99,9339
2020-07-05,40.89,9081
2020-07-04,38.9,9134.4
2020-07-03,38.44,9067.1
2020-07-02,38.61,9085.1
2020-07-01,38.38,9229.9
2020-06-30,39.35,9135.4
2020-06-29,41.29,9185.4
2020-06-28,40.73,9124
2020-06-27,39.05,9008.3
2020-06-26,39.17,9160
2020-06-25,38.79,9247.5
2020-06-24,37.62,9302
2020-06-23,38.58,9624.6
2020-06-22,41.69,9683.7
2020-06-21,39.31,9296.4
2020-06-20,37.84,9358.8
2020-06-19,36.71,9314
2020-06-18,37.34,9388.1
2020-06-17,38.8,9464.6
2020-06-16,39.23,9523.5
2020-06-15,41.09,9425.4
2020-06-14,41.45,9345.3
2020-06-13,38.8,9471.3
2020-06-12,37.76,9466.6
2020-06-11,37.19,9283.2
2020-06-10,38,9878.8
2020-06-09,38.83,9768.8
2020-06-08,41.1,9777.9
2020-06-07,39.33,9742.6
2020-06-06,38.58,9669.6
2020-06-05,39.2,9631.2
2020-06-04,38.31,9794.4
2020-06-03,37.42,9667.2
2020-06-02,39.1,9527.6
2020-06-01,42.1,10189.3
2020-05-31,40.92,9454.8
2020-05-30,41.21,9692.5
2020-05-29,44.14,9424.8
2020-05-28,44.25,9572.2
2020-05-27,45.54,9199.1
2020-05-26,49.93,8842.5
2020-05-25,52.75,8898.2
2020-05-24,50.74,8728.2
2020-05-23,45.82,9177
2020-05-22,45.61,9169.7
2020-05-21,47.3,9059
2020-05-20,47.03,9512.3
2020-05-19,47.82,9773.3
2020-05-18,53.11,9730.7
2020-05-17,45.89,9677.7
2020-05-16,46.84,9379.5
2020-05-15,48.27,9318
2020-05-14,48.57,9778.4
2020-05-13,48.66,9298.7
2020-05-12,49.35,8813.8
2020-05-11,58.41,8579.8
2020-05-10,52.21,8738.8
2020-05-09,47.69,9554.6
2020-05-08,47.97,9806.2
2020-05-07,50.05,9979.8
2020-05-06,49.84,9151.4
2020-05-05,51.32,9001
2020-05-04,57.65,8874.7
2020-05-03,50.75,8885.5
2020-05-02,49.39,8966.3
2020-05-01,49.1,8821.6
2020-04-30,50.79,8629
2020-04-29,51.48,8770.9
2020-04-28,51.2,7746.9
2020-04-27,57.88,7766
2020-04-26,54.28,7678.9
2020-04-25,53.46,7540.4
2020-04-24,52.84,7503.8
2020-04-23,53.04,7488.5
2020-04-22,54.26,7112.9
2020-04-21,53.99,6842.5
2020-04-20,61.16,6833.5
2020-04-19,61.29,7122.9
2020-04-18,56.62,7230.8
2020-04-17,55.79,7035.8
2020-04-16,56,7085.6
2020-04-15,56.55,6629.1
2020-04-14,57.9,6850.9
2020-04-13,63.99,6841.3
2020-04-12,64.54,6917.6
2020-04-11,62.26,6867.8
2020-04-10,58.37,6863.1
2020-04-09,56.77,7289
2020-04-08,57.33,7361.2
2020-04-07,59.18,7185.2
2020-04-06,68.46,7332.3
2020-04-05,66.34,6772.7
2020-04-04,60.11,6857.4
2020-04-03,58.45,6735.9
2020-04-02,56.45,6800.5
2020-04-01,55.95,6638.5
2020-03-31,58.16,6412.5
2020-03-30,69.27,6391
2020-03-29,66.2,5890.4
2020-03-28,59.03,6233.7
2020-03-27,59.51,6373.4
2020-03-26,59.5,6725.1
2020-03-25,60.07,6678.9
2020-03-24,58.66,6744.6
2020-03-23,68.87,6468.9
2020-03-22,66.59,5822.1
2020-03-21,56.92,6186.2
2020-03-20,55.71,6205.3
2020-03-19,52.98,6172
2020-03-18,52.11,5361.4
2020-03-17,50.22,5261.1
2020-03-16,61.16,5030
2020-03-15,55.88,5366.3
2020-03-14,47.08,5182.7
2020-03-13,41.48,5584.3
2020-03-12,33.27,4826
2020-03-11,31.24,7935.1
2020-03-10,28.57,7891.2
2020-03-09,29.85,7933
2020-03-08,28.3,8034.1
2020-03-07,24.68,8887.8
2020-03-06,21.96,9134.8
2020-03-05,22.19,9060.3
2020-03-04,21.12,8757.9
2020-03-03,19.7,8761.4
2020-03-02,20.38,8904.8
2020-03-01,17.23,8540
2020-02-29,18.5,8543.7
2020-02-28,15.64,8697.5
2020-02-27,14.23,8818.6
2020-02-26,11.63,8800.3
2020-02-25,12.77,9317.2
2020-02-24,12.02,9662.7
2020-02-23,9.27,9942.7
2020-02-22,9.96,9655.7
2020-02-21,8.7,9684.5
2020-02-20,8.77,9602.4
2020-02-19,10.43,9609.4
2020-02-18,11.26,10158.4
2020-02-17,10.16,9701.4
2020-02-16,8.86,9932.3
2020-02-15,9.11,9907.7
2020-02-14,9.89,10333
2020-02-13,9.25,10235.1
2020-02-12,8.95,10317.7
2020-02-11,9.83,10229.5
2020-02-10,10.38,9854.1
2020-02-09,9.45,10151.5
2020-02-08,8.83,9895.5
2020-02-07,9.31,9818.6
2020-02-06,10.44,9772
2020-02-05,10.5,9611.8
2020-02-04,11.12,9193.9
2020-02-03,12.33,9296.6
2020-02-02,10.41,9334.9
2020-02-01,11.27,9381.6
2020-01-31,9.85,9349.1
2020-01-30,9.82,9507.3
2020-01-29,9.06,9298.9
2020-01-28,7.79,9377.3
2020-01-27,8.93,8866.6
2020-01-26,7.91,8607.8
2020-01-25,6.21,8341.6
2020-01-24,5.36,8439.9
2020-01-23,4.27,8405.1
2020-01-22,3.27,8678.5
2020-01-21,1.26,8732.6
2020-01-20,0.86,8641.9
2020-01-19,0.77,8706.2
2020-01-18,0.49,8916.3
2020-01-17,0.25,8913.1
2020-01-16,0.16,8726.9
2020-01-15,0.12,8818.3
2020-01-14,0.16,8829.2
2020-01-13,0.15,8111.4
2020-01-12,0.39,8187.6
2020-01-11,0.05,8024.1
2020-01-10,0.21,8187.1
2020-01-09,0.02,7842.4
2020-01-08,0.02,8059.6
2020-01-07,0.05,8155.7
2020-01-06,0.04,7759.1
2020-01-05,0.02,7372.5
2020-01-04,0.03,7376.8
2020-01-03,0,7343.1
2020-01-02,0.01,6967
2020-01-01,0,7199.8
