Date,MCI
2021-05-24,66.11
2021-05-25,65.46
2021-05-26,66.75
2021-05-27,67.6
2021-05-28,66.72
2021-05-29,65.5
2021-05-30,66.84
2021-05-31,63.98
2021-06-01,64.27
2021-06-02,66.25
2021-06-03,66.62
2021-06-04,66.05
2021-06-05,65.38
2021-06-06,64.72
2021-06-07,61.75
2021-06-08,64.88
2021-06-09,63.69
2021-06-10,65.57
2021-06-11,65.88
2021-06-12,64.43
2021-06-13,62.35
2021-06-14,62.77
2021-06-15,65.6
2021-06-16,65.83
2021-06-17,65.49
2021-06-18,65.21
2021-06-19,63.72
2021-06-20,63.33
2021-06-21,60.33
2021-06-22,64.72
2021-06-23,64.79
2021-06-24,65.28
2021-06-25,64.37
2021-06-26,62.88
2021-06-27,64.42
2021-06-28,59.79
2021-06-29,63.03
2021-06-30,63.93
2021-07-01,64.3
2021-07-02,63.89
2021-07-03,62.9
2021-07-04,60.21
2021-07-05,60.36
2021-07-06,60.8
2021-07-07,62.27
2021-07-08,63.87
2021-07-09,64.81
2021-07-10,63.95
2021-07-11,61.41
2021-07-12,61.12
2021-07-13,63.21
2021-07-14,64.74
2021-07-15,64.78
2021-07-16,64.52
2021-07-17,64.92
2021-07-18,62.84
2021-07-19,61.89
2021-07-20,64.94
2021-07-21,66.49
2021-07-22,65.5
2021-07-23,64.63
2021-07-24,65.36
2021-07-25,64.47
2021-07-26,64
2021-07-27,64.56
2021-07-28,65.74
2021-07-29,66.6
2021-07-30,66.6
2021-07-31,65.98
2021-08-01,65.77
2021-08-02,63.64
2021-08-03,65.05
2021-08-04,67.37
2021-08-05,67.61
2021-08-06,67.25
2021-08-07,66.1
2021-08-08,65.44
2021-08-09,65.93
2021-08-10,65.96
2021-08-11,65.96
2021-08-12,65.5
2021-08-13,67.73
2021-08-14,66.4
2021-08-15,66.06
2021-08-16,63.51
2021-08-17,64.12
2021-08-18,66.13
2021-08-19,67.4
2021-08-20,65.97
2021-08-21,66.56
2021-08-22,65.11
2021-08-23,66.2
2021-08-24,67.2
2021-08-25,66.34
